Gene;AGI;annotation
HY5;AT5G11260;Basic leucine zipper (bZIP) transcription factor. Nuclear localization. Involved in light-regulated transcriptional activation of G-box-containing promoters. Negatively regulated by Cop1. Although cytokinins do not appear to affect the gene's promoter activity, they appear to stabilize the protein. HY5 plays a role in anthocyanin accumulation in far-red light and blue light, but not in red light or in the dark. Mutant studies showed that the gene product is involved in the positive regulation of the PHYA-mediated inhibition of hypocotyl elongation. Binds to G- and Z-boxes, and other ACEs, but not to E-box. Loss of function mutation shows ABA resistant seedling phenotypes suggesting involvement for HY5 in mediating ABA responses. Binds to the promoter of ABI5 and regulates its expression.Involved in the regulation of response to nutrient levels.
LBD37;AT5G67420;Encodes a LOB-domain protein involved in nitrogen metabolism and affecting leaf morphogenesis.
LBD38;AT3G49940;LOB domain-containing protein 38
LBD39;AT4G37540;LOB domain-containing protein 39
NAC4;AT5G07680;NAC domain containing protein 80
NAR2.1;AT5G50200;Wound-responsive gene 3 (WR3).  Encodes a high-affinity nitrate transporter. Up-regulated by nitrate. Involved in jasmonic acid-independent wound signal transduction.
NIA1;AT1G77760;Encodes the cytosolic minor isoform of nitrate reductase (NR). Involved in the first step of nitrate assimilation, it contributes about 15% of the nitrate reductase activity in shoots. Similar to molybdopterin oxidoreductases at the N-terminus, and to FAD/NAD-binding cytochrome reductases at the C-terminus. Cofactors: FAD, heme iron (cytochrome B-557), and molybdenum-pterin.
NIA2;AT1G37130;Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940. The mRNA is cell-to-cell mobile.
NIR;AT2G15620;Involved in the second step of nitrate assimilation.  Its expression is induced by nitrate. The mRNA is cell-to-cell mobile.
NLP2;AT4G35270;Plant regulator RWP-RK family protein
NLP3;AT4G38340;Chip-seq data indicates bZIP1 binds to  the NLP3 promoter.
NLP6;AT1G64530;Plant regulator RWP-RK family protein
NLP7;AT4G24020;Encodes NIN Like Protein 7 (NLP7).  Modulates nitrate sensing and metabolism.  Mutants of NLP7 show features of nitrogen-starved plants and are tolerant to drought stress.  Localized in the nucleus and functions as a putative transcription factor. The mRNA is cell-to-cell mobile.
NLP8;AT2G43500;Plant regulator RWP-RK family protein
NRT1.1;AT1G12110;Encodes NRT1.1 (CHL1), a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stomatal opening. Mutants have less transpiration and are more tolerant to drought. Expressed in lateral roots. Involved in nitrate signaling which enables the plant root system to detect and exploit nitrate-rich soil patches. Comparing to the wild type, the mutant displays a strongly decreased lateral root proliferation phenotype in nitrate rich patches on growth medium. Affects flowering time via interaction with the FLC dependent flowering pathway to influence its target gene FT.
NRT2.1;AT1G08090;High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake.
NRT2.2;AT1G08100;Encodes a high-affinity nitrate transporter.
NRT2.4;AT5G60770;member of High affinity nitrate transporter family
NRT2.5;AT1G12940;member of High affinity nitrate transporter family
RAV1;AT1G13260;Encodes an AP2/B3 domain transcription factor which is upregulated in response to low temperature. It contains a B3 DNA binding domain. It has circadian regulation and may function as a negative growth regulator. The mRNA is cell-to-cell mobile.
RAV2;AT1G68840;Rav2 is part of a complex that has been named `regulator of the (H+)-ATPase of the vacuolar and endosomal membranes' (RAVE) The mRNA is cell-to-cell mobile.
RFNR1;AT4G05390;Encodes a root-type ferredoxin:NADP(H) oxidoreductase.
RFNR2;AT1G30510;Encodes a root-type ferredoxin:NADP(H) oxidoreductase.
TGA1;AT5G65210;Encodes TGA1, a redox-controlled regulator of systemic acquired resistance.  TGA1 targets the activation sequence-1 (as-1) element of the promoter region of defense proteins. TGA1 are S-nitrosylated.
TGA3;AT1G22070;Encodes a transcription factor. Like other TGAla-related factors, TGA3 has a highly conserved bZIP region and exhibits similar DNA-binding properties.
TGA4;AT5G10030;Encodes a member of basic leucine zipper transcription gene family.  Nomenclature according to Xiang, et al. (1997).
